Date,Open,High,Low,Close,Adj Close,Volume
2019-07-22,425.000000,428.700012,418.000000,421.149994,402.365540,189724
2019-07-23,422.649994,427.500000,418.250000,424.200012,405.279541,108863
2019-07-24,423.649994,423.649994,413.600006,420.799988,402.031189,40212
2019-07-25,420.799988,426.450012,419.399994,423.000000,404.133057,74550
2019-07-26,423.000000,429.600006,422.299988,428.100006,409.005554,66161
2019-07-29,427.000000,433.750000,425.200012,428.299988,409.196625,238219
2019-07-30,426.100006,429.299988,420.700012,423.100006,404.228577,41281
2019-07-31,422.000000,429.450012,415.950012,426.750000,407.715790,77053
2019-08-01,422.000000,427.850006,422.000000,425.399994,406.425995,40215
2019-08-02,425.000000,428.450012,422.750000,426.149994,407.142517,50980
2019-08-05,422.100006,431.950012,421.000000,429.700012,410.534271,36376
2019-08-06,427.799988,439.250000,426.000000,433.299988,413.973663,166248
2019-08-07,433.200012,437.950012,429.000000,430.450012,412.679382,100512
2019-08-08,433.950012,437.600006,431.950012,435.799988,417.808502,81989
2019-08-09,436.649994,440.600006,431.350006,438.899994,420.780487,108358
2019-08-13,439.600006,439.600006,427.200012,429.200012,411.481018,64890
2019-08-14,429.000000,433.700012,426.299988,431.450012,413.638092,53773
2019-08-16,431.950012,431.950012,427.100006,428.149994,410.474304,32081
2019-08-19,428.500000,436.000000,428.500000,431.950012,414.117493,50883
2019-08-20,432.899994,433.149994,428.250000,431.799988,413.973633,33089
2019-08-21,430.500000,430.799988,422.000000,426.950012,409.323883,49468
2019-08-22,427.049988,431.850006,424.600006,427.950012,410.282501,40896
2019-08-23,428.000000,429.350006,423.000000,424.450012,406.927063,57711
2019-08-26,424.049988,436.500000,419.600006,435.750000,417.760559,79656
2019-08-27,431.399994,447.000000,431.399994,440.549988,422.362396,87461
2019-08-28,441.850006,442.000000,433.149994,434.500000,416.562134,44585
2019-08-29,433.399994,444.649994,431.850006,442.649994,424.375671,61385
2019-08-30,444.899994,450.000000,444.049988,449.049988,430.511475,56506
2019-09-03,448.500000,452.000000,439.299988,442.450012,424.183960,81890
2019-09-04,444.000000,446.600006,434.149994,442.149994,423.896301,56340
2019-09-05,443.000000,445.350006,437.450012,439.049988,420.924347,24931
2019-09-06,441.200012,442.200012,437.350006,441.100006,422.889679,20522
2019-09-09,441.799988,446.899994,438.100006,444.149994,425.813782,79804
2019-09-11,444.299988,450.000000,442.000000,449.000000,430.463531,62459
2019-09-12,449.700012,451.549988,446.649994,450.100006,431.518127,38254
2019-09-13,453.299988,454.350006,446.600006,452.049988,433.387604,66671
2019-09-16,450.000000,457.149994,448.850006,454.399994,435.640625,65731
2019-09-17,453.250000,456.850006,450.600006,451.850006,433.195923,43077
2019-09-18,454.899994,462.149994,452.399994,460.399994,441.392914,48110
